Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_1,1e-7,-0.9,0.5,ID_1,A_Test
R_2,1e-7,-0.9,0.5,ID_2,A_Test
R_3,1e-7,-0.9,0.5,ID_3,A_Test
R_4,1e-7,-0.9,0.5,ID_4,A_Test
R_5,1e-7,-0.9,0.5,ID_5,A_Test
R_6,1e-7,-0.9,0.5,ID_6,A_Test
R_7,1e-7,-0.9,0.5,ID_7,A_Test
R_8,1e-7,-0.9,0.5,ID_8,A_Test
R_9,1e-7,-0.9,0.5,ID_9,A_Test
R_10,1e-7,-0.9,0.5,ID_10,A_Test
R_11,1e-7,-0.9,0.5,ID_11,A_Test
R_12,1e-7,-0.9,0.5,ID_12,A_Test
R_13,1e-7,-0.9,0.5,ID_13,A_Test
R_14,1e-7,-0.9,0.5,ID_14,A_Test
R_15,1e-7,-0.9,0.5,ID_15,A_Test
R_16,1e-7,-0.9,0.5,ID_16,A_Test
R_17,1e-7,-0.9,0.5,ID_17,A_Test
R_18,1e-7,-0.9,0.5,ID_18,A_Test
R_19,1e-7,-0.9,0.5,ID_19,A_Test
R_20,1e-7,-0.9,0.5,ID_20,A_Test
R_21,1e-7,-0.9,0.5,ID_21,A_Test
R_22,1e-7,-0.9,0.5,ID_22,A_Test
R_23,1e-7,-0.9,0.5,ID_23,A_Test
R_24,1e-7,-0.9,0.5,ID_24,A_Test
R_25,1e-7,-0.9,0.5,ID_25,A_Test
R_26,1e-7,-0.9,0.5,ID_26,A_Test
R_27,1e-7,-0.9,0.5,ID_27,A_Test
R_28,1e-7,-0.9,0.5,ID_28,A_Test
R_29,1e-7,-0.9,0.5,ID_29,A_Test
R_30,1e-7,-0.9,0.5,ID_30,A_Test
R_31,1e-7,-0.9,0.5,ID_31,A_Test
R_32,1e-7,-0.9,0.5,ID_32,A_Test
R_33,1e-7,-0.9,0.5,ID_33,A_Test
R_34,1e-7,-0.9,0.5,ID_34,A_Test
R_35,1e-7,-0.9,0.5,ID_35,A_Test
R_36,1e-7,-0.9,0.5,ID_36,A_Test
R_37,1e-7,-0.9,0.5,ID_37,A_Test
R_38,1e-7,-0.9,0.5,ID_38,A_Test
R_39,1e-7,-0.9,0.5,ID_39,A_Test
R_40,1e-7,-0.9,0.5,ID_40,A_Test
R_41,1e-7,-0.9,0.5,ID_41,A_Test
R_42,1e-7,-0.9,0.5,ID_42,A_Test
R_43,1e-7,-0.9,0.5,ID_43,A_Test
R_44,1e-7,-0.9,0.5,ID_44,A_Test
R_45,1e-7,-0.9,0.5,ID_45,A_Test
R_46,1e-7,-0.9,0.5,ID_46,A_Test
R_47,1e-7,-0.9,0.5,ID_47,A_Test
