Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_1,1e-7,-0.9,0.5,ID_1,Morse
R_2,1e-7,-0.9,0.5,ID_2,Morse
R_3,1e-7,-0.9,0.5,ID_3,Morse
R_4,1e-7,-0.9,0.5,ID_4,Morse
R_5,1e-7,-0.9,0.5,ID_5,Morse
R_6,1e-7,-0.9,0.5,ID_6,Morse
R_7,1e-7,-0.9,0.5,ID_7,Morse
R_8,1e-7,-0.9,0.5,ID_8,Morse
R_9,1e-7,-0.9,0.5,ID_9,Morse
R_10,1e-7,-0.9,0.5,ID_10,Morse
R_11,1e-7,-0.9,0.5,ID_11,Morse
R_12,1e-7,-0.9,0.5,ID_12,Morse
R_13,1e-7,-0.9,0.5,ID_13,Morse
R_14,1e-7,-0.9,0.5,ID_14,Morse
R_15,1e-7,-0.9,0.5,ID_15,Morse
R_16,1e-7,-0.9,0.5,ID_16,Morse
R_17,1e-7,-0.9,0.5,ID_17,Morse
R_18,1e-7,-0.9,0.5,ID_18,Morse
R_19,1e-7,-0.9,0.5,ID_19,Morse
R_20,1e-7,-0.9,0.5,ID_20,Morse
R_21,1e-7,-0.9,0.5,ID_21,Morse
R_22,1e-7,-0.9,0.5,ID_22,Morse
R_23,1e-7,-0.9,0.5,ID_23,Morse
R_24,1e-7,-0.9,0.5,ID_24,Morse
R_25,1e-7,-0.9,0.5,ID_25,Morse
R_26,1e-7,-0.9,0.5,ID_26,Morse
R_27,1e-7,-0.9,0.5,ID_27,Morse
R_28,1e-7,-0.9,0.5,ID_28,Morse
R_29,1e-7,-0.9,0.5,ID_29,Morse
R_30,1e-7,-0.9,0.5,ID_30,Morse
R_31,1e-7,-0.9,0.5,ID_31,Morse
R_32,1e-7,-0.9,0.5,ID_32,Morse
R_33,1e-7,-0.9,0.5,ID_33,Morse
R_34,1e-7,-0.9,0.5,ID_34,Morse
R_35,1e-7,-0.9,0.5,ID_35,Morse
R_36,1e-7,-0.9,0.5,ID_36,Morse
R_37,1e-7,-0.9,0.5,ID_37,Morse
R_38,1e-7,-0.9,0.5,ID_38,Morse
R_39,1e-7,-0.9,0.5,ID_39,Morse
R_40,1e-7,-0.9,0.5,ID_40,Morse
R_41,1e-7,-0.9,0.5,ID_41,Morse
R_42,1e-7,-0.9,0.5,ID_42,Morse
R_43,1e-7,-0.9,0.5,ID_43,Morse
R_44,1e-7,-0.9,0.5,ID_44,Morse
R_45,1e-7,-0.9,0.5,ID_45,Morse
R_46,1e-7,-0.9,0.5,ID_46,Morse
R_47,1e-7,-0.9,0.5,ID_47,Morse
R_48,1e-7,-0.9,0.5,ID_48,Morse
R_49,1e-7,-0.9,0.5,ID_49,Morse
R_50,1e-7,-0.9,0.5,ID_50,Morse
R_51,1e-7,-0.9,0.5,ID_51,Morse
R_52,1e-7,-0.9,0.5,ID_52,Morse
R_53,1e-7,-0.9,0.5,ID_53,Morse
R_54,1e-7,-0.9,0.5,ID_54,Morse
R_55,1e-7,-0.9,0.5,ID_55,Morse
R_56,1e-7,-0.9,0.5,ID_56,Morse
R_57,1e-7,-0.9,0.5,ID_57,Morse
R_58,1e-7,-0.9,0.5,ID_58,Morse
R_59,1e-7,-0.9,0.5,ID_59,Morse
R_60,1e-7,-0.9,0.5,ID_60,Morse
R_61,1e-7,-0.9,0.5,ID_61,Morse
R_62,1e-7,-0.9,0.5,ID_62,Morse
R_63,1e-7,-0.9,0.5,ID_63,Morse
R_64,1e-7,-0.9,0.5,ID_64,Morse
R_65,1e-7,-0.9,0.5,ID_65,Morse
R_66,1e-7,-0.9,0.5,ID_66,Morse
R_67,1e-7,-0.9,0.5,ID_67,Morse
R_68,1e-7,-0.9,0.5,ID_68,Morse
R_69,1e-7,-0.9,0.5,ID_69,Morse
R_70,1e-7,-0.9,0.5,ID_70,Morse
R_71,1e-7,-0.9,0.5,ID_71,Morse
R_72,1e-7,-0.9,0.5,ID_72,Morse
